Date,Cow,Body Weight (kg),Daily Hay Dry matter (kg),hay intake fresh
2022-02-12,Cow 4,476.7067214488278,26.48387375659019,60.24040888965393
2022-02-24,Cow 59,481.9526425473179,18.34876904423948,35.09784269454252
2022-01-31,Cow 18,501.8023249824523,29.03972751608761,54.14571871317849
2022-01-03,Cow 3,678.0480245794256,35.44613639268167,57.19388890843386
2022-02-23,Cow 45,522.4321258716699,15.557706079439017,31.54572899411155
2022-02-24,Cow 54,621.9384590495184,23.02695226513214,47.47500073127984
2022-01-27,Cow 59,423.1980336863463,21.776002531190876,48.36780020114426
2022-02-20,Cow 55,547.0622208270696,24.6609422682675,50.27061386100771
2022-02-08,Cow 37,457.789719831869,23.53425608150268,59.67563282538877
2022-01-15,Cow 59,575.9599591862054,21.43913452873439,64.11597471140746
2022-01-04,Cow 32,443.4205058029712,19.513268503539585,53.58580068651118
2022-01-21,Cow 30,430.22316407559975,27.02023758682053,59.707939696931135
2022-02-03,Cow 27,515.6263423729114,18.505735590886243,61.17470494114934
2022-01-01,Cow 10,306.16722144697246,13.89169806621442,63.20870235322671
2022-02-05,Cow 10,365.23955278911103,21.98235781060853,41.79213095257831
2022-01-03,Cow 39,395.4659607542322,25.549068226487226,50.98593797691729
2022-01-12,Cow 43,449.2858210783708,22.303062645715908,42.66303638718148
2022-01-18,Cow 9,410.2890490663368,23.062522704637,57.119005200839055
2022-02-03,Cow 19,536.859733872737,10.446839992002326,55.74098520405586
2022-02-18,Cow 7,538.2067601214858,8.576937246504805,39.31070060735382
2022-01-15,Cow 44,554.6804414904403,15.356718686131536,54.15227367389809
2022-02-17,Cow 48,496.4774879808904,20.35373208070701,49.8758594841397
2022-01-03,Cow 54,416.68423321877617,16.834198466645077,38.604435553459126
2022-01-30,Cow 51,374.5923005250653,21.034553557385674,46.35696828991931
2022-02-26,Cow 21,485.84952348639,20.03183319964159,51.072918538165226
2022-01-24,Cow 1,338.9081254610004,19.867550666025664,39.89121264094495
2022-02-23,Cow 39,697.4674158607559,22.53621611056182,52.11489530092672
2022-02-03,Cow 11,445.181572017705,14.782540724591922,46.27542309929835
2022-01-21,Cow 36,611.2748820687673,19.454725835461407,46.05905317577865
2022-01-03,Cow 43,377.2232857533287,16.950524149457287,42.57662962893072
2022-03-01,Cow 38,308.7922081699539,15.975862184352993,29.81564471600896
2022-02-03,Cow 15,530.3442570877166,19.82118011013941,38.72967389849599
2022-02-10,Cow 7,333.9012973283732,20.48469924179689,51.79153852601368
2022-01-02,Cow 14,443.00981090735934,21.894781196703214,50.73254548618599
2022-02-23,Cow 38,653.3355673779259,16.17739383768705,46.661801757551686
2022-01-24,Cow 34,614.6985926860859,27.742657054634336,50.08457084498263
2022-01-19,Cow 58,417.771043598261,18.75793691056508,52.11513914619926
2022-01-27,Cow 48,341.69502507526977,27.625911475179983,51.30912076733854
2022-02-09,Cow 13,417.66524006801984,23.037907253767937,59.9841292114854
2022-03-01,Cow 15,457.82313886010206,22.7387361936578,44.80391154621124
2022-01-05,Cow 9,536.8500382981415,25.453817134396036,51.87537736912082
2022-02-19,Cow 37,357.00314246463654,17.018832553456264,57.396432634595456
2022-01-27,Cow 19,574.983097944527,22.688399965284248,70.87664094601722
2022-01-27,Cow 47,454.0130812145342,21.319246220861977,52.98014092125598
2022-02-24,Cow 16,310.5465017521371,18.79824535043156,47.28099928199376
2022-01-16,Cow 35,525.13677050927,19.050578626423363,36.18302811252157
2022-01-07,Cow 19,430.2881198059322,22.89744577355876,43.732381484292006
2022-02-18,Cow 17,524.4891864706517,23.702667820197604,52.66893056828463
2022-01-03,Cow 26,683.2155132741937,14.03200958145192,54.3919265262073
2022-01-14,Cow 22,446.36948268159966,22.489994195582373,41.1057815016553
2022-02-03,Cow 48,516.5012781733421,9.09337877613458,39.80135027167069
2022-02-01,Cow 38,452.5779342313625,24.257815759018737,52.776182766498174
2022-01-08,Cow 54,465.8351833937299,21.746131116264063,37.98469723346574
2022-02-10,Cow 23,563.597013329871,21.099035890391587,55.956912285245885
2022-02-07,Cow 59,469.2637470199961,26.867524743086754,73.07745843922369
2022-02-08,Cow 42,556.2009541246844,18.31363053677981,46.23849373887689
2022-01-30,Cow 48,397.0194428398972,23.7248337901968,52.58492960094303
2022-02-01,Cow 25,502.17761993638527,17.047249888273786,45.17881721036018
2022-02-23,Cow 37,575.4154317500225,16.714110311454743,52.99477360556728
2022-01-10,Cow 50,488.0026916209814,19.415307436052725,62.22807929848702
2022-01-09,Cow 19,421.8006792934351,14.72196828289358,50.41022767607321
2022-01-08,Cow 18,447.5290903525624,18.21830492262393,60.80131723240285
2022-02-02,Cow 56,490.2139065152778,22.67368468470421,59.12407970226937
2022-01-12,Cow 55,428.2503529726747,19.86299542127811,46.59774113563555
2022-02-06,Cow 13,424.4857745303864,13.2423573197148,48.50900053175966
2022-02-21,Cow 39,644.9976844355444,22.21010679379188,46.2970324227794
2022-01-05,Cow 2,571.5375179659394,15.890876011724623,56.63240314700385
2022-02-25,Cow 24,452.3216642969146,25.360671728222165,49.02121186422948
2022-01-02,Cow 43,355.7002874091547,10.77655156473183,55.83906345044172
2022-01-17,Cow 33,651.2357700630898,20.728802646588548,30.32373058144467
2022-01-27,Cow 13,424.6604757486055,20.98649622290593,46.25367085186204
2022-02-13,Cow 33,362.8810585523752,20.746316692407888,41.738679248817085
2022-01-12,Cow 13,469.82666257085737,18.667136587141005,44.85395864077751
2022-01-06,Cow 33,600.1940233811174,18.74107751344523,44.05588485015847
2022-01-16,Cow 5,516.8752480301739,26.533685661623903,46.981536577727866
2022-02-24,Cow 14,337.9351212836018,27.30370891360685,54.77394592716904
2022-01-16,Cow 42,384.6042657929607,22.972328325984893,55.66842377893114
2022-02-17,Cow 23,388.2902333148905,21.114135651618064,58.69412062791366
2022-02-19,Cow 5,110.8086527571802,22.517084628073725,67.02559164121037
2022-01-28,Cow 41,459.02580828340297,19.60086082257545,39.60843258083075
2022-01-30,Cow 49,653.8371779508818,17.630793396651978,72.37692299424246
2022-01-19,Cow 1,532.8552105162244,24.25172484403388,49.74181210466936
2022-02-18,Cow 10,434.3329576105167,16.708705116794736,39.88020099006914
2022-01-13,Cow 42,460.94570891874,16.2309881919574,47.36788139936785
2022-02-07,Cow 36,460.6717820936519,18.86896488676249,50.41337932691336
2022-01-04,Cow 12,494.1088706409025,35.606856027295656,32.847937512828935
2022-02-11,Cow 1,328.3527407133234,20.98006656147172,41.38899421520965
2022-02-27,Cow 9,552.1004299466678,17.53069622868896,48.32295576825927
2022-01-19,Cow 56,561.4062643258766,25.703533916551446,29.352931478807896
2022-02-24,Cow 2,461.7932836540187,13.091662455680638,48.43710271556362
2022-01-07,Cow 59,445.4966251235641,14.309304856027834,70.64954207633528
2022-02-22,Cow 34,353.52549831089755,13.30217000336308,43.8788707945953
2022-02-19,Cow 58,448.0610541264661,24.356676485011835,55.98843744477825
2022-02-14,Cow 23,141.3935369617625,17.362426860074326,59.87191528116172
2022-01-14,Cow 43,361.0165519618717,23.278285756688,54.330408653663945
2022-01-24,Cow 53,371.3660911880649,17.404095856853942,29.35749028107628
2022-01-11,Cow 28,597.905472277314,24.40956992149566,51.60968723197263
2022-02-20,Cow 14,467.50281783495046,15.969814972355213,34.454641798751425
2022-01-04,Cow 15,628.2865664577721,14.764658564595184,63.74435507984099
2022-02-23,Cow 60,430.7641863425751,12.413278179727689,45.94805819337694
