,Cow,Date,Body Weight (kg),Daily Hay Dry matter (kg),hay intake fresh
0,Cow 1,2022-01-01,354.4357028662975,18.516118665946145,60.129596189566215
1,Cow 1,2022-01-02,544.8666278577443,14.821860912193747,58.99509981306868
2,Cow 1,2022-01-03,500.270189333388,18.8850567697515,50.43027489415472
3,Cow 1,2022-01-04,421.0520799471451,19.351041121260906,40.659790342514825
4,Cow 1,2022-01-05,436.9643705821058,17.687959033658206,41.80514081794148
5,Cow 1,2022-01-06,493.3731817542819,22.14031697295149,45.086355887577696
6,Cow 1,2022-01-07,447.04681889942646,27.846692812948266,62.79265819034248
7,Cow 1,2022-01-08,467.20629080626685,22.539783707159287,64.48347933563599
8,Cow 1,2022-01-09,358.1420487560452,13.135909851148039,41.513991373224044
9,Cow 1,2022-01-10,576.2853208801675,12.938101955445012,53.95754945195856
10,Cow 1,2022-01-11,229.4956452814331,25.876034093273468,59.48640754936537
11,Cow 1,2022-01-12,428.749085522041,18.760099056964478,75.16579729585933
12,Cow 1,2022-01-13,334.6132283943354,23.636174737292123,39.12240466823002
13,Cow 1,2022-01-14,441.4667027133212,14.618948042610736,41.829182672919586
14,Cow 1,2022-01-15,356.7859303168683,21.67266225623098,51.843103505319085
15,Cow 1,2022-01-16,391.3767992910392,17.869879683509854,41.2681009211649
16,Cow 1,2022-01-17,272.0687652947498,19.79493718229034,50.58785717632867
17,Cow 1,2022-01-18,358.5195858228051,26.760870136675692,61.07666781007836
18,Cow 1,2022-01-19,324.5844596941362,13.50677425122527,40.33558331448356
19,Cow 1,2022-01-20,603.6326712904834,26.32957878669098,39.70082080521066
20,Cow 1,2022-01-21,400.5596707594837,22.30867437485462,36.92508519995904
21,Cow 1,2022-01-22,486.5735485642375,13.079611189318085,50.19840140800585
22,Cow 1,2022-01-23,511.1885077925077,17.052083563569415,53.54581560036178
23,Cow 1,2022-01-24,541.1023844734445,28.547902143774905,41.587838863970354
24,Cow 1,2022-01-25,548.9656091396962,29.104744793557295,33.513060206230946
25,Cow 1,2022-01-26,560.4132821528437,13.825490650673643,40.506520808310945
26,Cow 1,2022-01-27,408.6232102063899,19.998085525666596,76.64101827746417
27,Cow 1,2022-01-28,593.7994077316556,22.9514235634014,28.709721754613188
28,Cow 1,2022-01-29,367.65303716138646,22.626171955961198,49.3419885542776
29,Cow 1,2022-01-30,453.57358420990266,17.17768056314344,31.144193553207344
30,Cow 1,2022-01-31,569.568440020178,19.668015047657782,59.39709084768228
31,Cow 1,2022-02-01,400.245999378816,20.350155219630846,60.20283954729303
32,Cow 1,2022-02-02,231.9856338725315,20.383302736987456,41.43460085710225
33,Cow 1,2022-02-03,172.67971797281916,21.593899355567324,28.995268770369673
34,Cow 1,2022-02-04,268.64831267804027,20.239712406191135,54.173318505758466
35,Cow 1,2022-02-05,456.52128903177453,14.143456283651904,43.78949370062551
36,Cow 1,2022-02-06,273.0209180464718,22.317706185003782,42.51269558518726
37,Cow 1,2022-02-07,491.23968840182386,11.480300803293014,54.41313006540665
38,Cow 1,2022-02-08,499.3196033399262,20.778849360090792,65.00362222283428
39,Cow 1,2022-02-09,570.3720219788294,23.294788584266627,59.5697398992196
40,Cow 1,2022-02-10,419.76866266826164,21.548460282897796,45.23814091218292
41,Cow 1,2022-02-11,291.180350782677,17.957038774133608,56.14327312825825
42,Cow 1,2022-02-12,388.38693729617864,26.850827451743505,53.31390168463384
43,Cow 1,2022-02-13,335.5726493389901,15.83208327588976,14.534734171997123
44,Cow 1,2022-02-14,309.43920132768017,29.491467187128784,52.593616980301626
45,Cow 1,2022-02-15,527.6787527810717,22.09404515416144,65.17111320972789
46,Cow 1,2022-02-16,534.086219954899,18.169193380810604,36.178854705054036
47,Cow 1,2022-02-17,456.42688333372774,18.620446627782844,55.47027077561348
48,Cow 1,2022-02-18,335.1311020284358,31.271954154797744,37.38066908639347
49,Cow 1,2022-02-19,498.5404871438444,12.810492807810286,59.097976671443654
50,Cow 1,2022-02-20,626.5583349780695,24.481861764385243,48.41334548263707
51,Cow 1,2022-02-21,412.8827497264575,15.413249270489464,61.173269652694664
52,Cow 1,2022-02-22,395.77838240653557,17.464384578217075,67.16811062251772
53,Cow 1,2022-02-23,556.8051955947096,7.0425002376957515,65.43068385214602
54,Cow 1,2022-02-24,432.78349906467275,18.453837106499865,52.235328806637746
55,Cow 1,2022-02-25,387.8746002175118,16.982416493108868,50.86922259943995
56,Cow 1,2022-02-26,402.18133136697276,30.510089632495998,42.78720767062819
57,Cow 1,2022-02-27,543.6448857392938,18.17146675772191,46.61841149740471
58,Cow 1,2022-02-28,430.09140135311395,28.651686422997496,51.87844711048382
59,Cow 1,2022-03-01,327.8606361289844,20.422376487506092,57.063524981049135
60,Cow 2,2022-01-01,351.0383905103414,16.926726206007782,48.4539494936873
61,Cow 2,2022-01-02,525.0533302088214,11.303619607889052,42.12473032749691
62,Cow 2,2022-01-03,301.20339791842156,18.787876544078255,69.52188759760564
63,Cow 2,2022-01-04,480.3910677827709,7.624432551741178,67.74072982679101
64,Cow 2,2022-01-05,485.3466214269819,19.972128659770128,54.80645861922862
65,Cow 2,2022-01-06,504.69864380727745,19.3879655266289,40.96753232105499
66,Cow 2,2022-01-07,401.17932040411904,20.73630816145706,50.78661979807745
67,Cow 2,2022-01-08,491.05121669602335,19.05624390661278,41.259291704165335
68,Cow 2,2022-01-09,326.1500560968948,22.60071873820308,49.16929091860707
